text,amount
uber ride to office,230
ola cab from airport,540
delhi metro card recharge,300
zomato food order,450
starbucks cappuccino,320
big bazaar grocery shopping,1450
flipkart shopping order,1999
netflix month subscription,649
airtel prepaid recharge,399
apollo pharmacy medicines,820
hp petrol pump,1200
rent payment via upi,15000
atm cash withdrawal,2000
swiggy dinner order,580
rapido bike taxi,190
ajio fashion shopping,850
bses electricity bill,1800
youtube premium subscription,139
bookmyshow movie tickets,450
indian oil fuel station,1000